"Archive","SHA256","Package","Version","Architecture"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libnghttp2","1.68.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libngtcp2","1.20.0","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","resolv-conf","1.3","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libunbound","1.24.2-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libgnutls","3.8.11","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","liblz4","1.10.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","sed","4.9-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","termux-keyring","3.13","all"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","termux-licenses","2.1","all"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","xxhash","0.8.3-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","apt","2.8.1-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","readline","8.3.1-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libnghttp3","1.15.0","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libssh2","1.11.1-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libcurl","8.18.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","curl","8.18.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","dash","0.5.12-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libmpfr","4.2.1-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","gawk","5.3.1-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","procps","3.3.17-6","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","psmisc","23.7-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","termux-am","0.8.0-2","all"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","termux-am-socket","1.5.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","termux-core","0.4.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","termux-exec","1:2.4.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libandroid-posix-semaphore","0.1-4","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libcap-ng","2:0.9","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libsmartcols","2.41.2-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","util-linux","2.41.2-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","dialog","1.3-20240307-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","termux-tools","1.46.0+really1.45.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","bash","5.3.9","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","command-not-found","3.2-16","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","ed","1.22.5","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","debianutils","5.23.2-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","dos2unix","7.5.2-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","inetutils","2.6-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","libtirpc","1.3.7-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","lsof","4.99.5-2","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","nano","8.7.1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","net-tools","2.10.0-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","patch","2.8-1","aarch64"
"bootstrap-aarch64.zip","ea2aeba8819e517db711f8c32369e89e7c52cee73e07930ff91185e1ab93f4f3","unzip","6.0-10","aarch64"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","pcre2","10.47","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libandroid-selinux","14.0.0.11-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libandroid-support","29-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libc++","29","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libgmp","6.3.0-2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libiconv","1.18-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","ca-certificates","1:2025.12.02","all"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","zlib","1.3.1-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","openssl","1:3.6.1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","coreutils","9.9","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libbz2","1.0.8-8","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","bzip2","1.0.8-8","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","diffutils","3.12-2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","gzip","1.14-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","ncurses","6.6.20260124+really6.5.20250830","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","less","692","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","liblzma","5.8.2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libmd","1.1.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","attr","2.5.2-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libacl","2.3.2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libandroid-glob","0.6-3","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","tar","1.35-2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","xz-utils","5.8.2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","zstd","1.5.7-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","dpkg","1.22.6-5","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","findutils","4.10.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libgpg-error","1.58","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libassuan","3.0.2-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libgcrypt","1.11.2-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libnpth","1.6-3","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","gpgv","2.5.17","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","grep","3.12-3","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libnettle","4.0+really3.10.2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libunistring","1.3-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libidn2","2.3.8-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libevent","2.1.12-3","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libnghttp2","1.68.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libngtcp2","1.20.0","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","resolv-conf","1.3","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libunbound","1.24.2-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libgnutls","3.8.11","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","liblz4","1.10.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","sed","4.9-2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","termux-keyring","3.13","all"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","termux-licenses","2.1","all"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","xxhash","0.8.3-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","apt","2.8.1-2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","readline","8.3.1-2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libnghttp3","1.15.0","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libssh2","1.11.1-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libcurl","8.18.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","curl","8.18.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","dash","0.5.12-2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","libmpfr","4.2.1-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","gawk","5.3.1-2","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","procps","3.3.17-6","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","psmisc","23.7-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","termux-am","0.8.0-2","all"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","termux-am-socket","1.5.0-1","arm"
"bootstrap-arm.zip","a38f4d3b2f735f83be2bf54eff463e86dc32a3e2f9f861c1557c4378d249c018","termux-core","0.4.0-1","arm"
